customer_unique_id,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_code,segment,action_priority
c8460e4251689ba205045f3ea17884a1,70,4,4655.91,5,5,5,05/05/2005,Champions,1
4facc2e6fbc2bffab2fea92d2b4aa7e4,65,4,1760.75,5,5,5,05/05/2005,Champions,1
397b44d5bb99eabf54ea9c2b41ebb905,122,4,1756.53,5,5,5,05/05/2005,Champions,1
fe81bb32c243a86b2f86fbf053fe6140,118,5,1590.76,5,5,5,05/05/2005,Champions,1
297ec5afd18366f5ba27520cc4954151,158,3,1451,4,5,5,04/05/2005,Champions,1
4e1cce07cd5937c69dacac3c8b13d965,79,3,1294.6,5,5,5,05/05/2005,Champions,1
d387ea85dc301a91740e31360d355686,142,3,1290.88,4,5,5,04/05/2005,Champions,1
d132b863416f85f2abb1a988ca05dd12,88,3,1276.52,5,5,5,05/05/2005,Champions,1
33176de67c05eeed870fd49f234387a0,135,3,1254.01,4,5,5,04/05/2005,Champions,1
3e43e6105506432c953e165fb2acf44c,232,9,1172.66,3,5,5,03/05/2005,Champions,1
ca77025e7201e3b30c44b472ff346268,138,7,1122.72,4,5,5,04/05/2005,Champions,1
5e8f38a9a1c023f3db718edcf926a2db,225,5,1114.18,3,5,5,03/05/2005,Champions,1
dc813062e0fc23409cd255f7f53c7074,55,6,1094.63,5,5,5,05/05/2005,Champions,1
08e5b38d7948d37fbb2a59fc5e175ab1,160,4,1056.33,4,5,5,04/05/2005,Champions,1
9832ae2f7d3e5fa4c7a1a06e9551bc61,176,3,1026.09,4,5,5,04/05/2005,Champions,1
1b6c7548a2a1f9037c1fd3ddfed95f33,245,7,959.01,3,5,5,03/05/2005,Champions,1
47c1a3033b8b77b3ab6e109eb4d5fdf3,266,6,944.21,3,5,5,03/05/2005,Champions,1
8d50f5eadf50201ccdcedfb9e2ac8455,58,15,879.27,5,5,5,05/05/2005,Champions,1
12d8b5ed661190a3a08183644dfc504d,168,4,857.95,4,5,5,04/05/2005,Champions,1
8c21dd8c37144807c601f99f2a209dfb,150,3,848.02,4,5,5,04/05/2005,Champions,1
63cfc61cee11cbe306bff5857d00bfe4,142,6,826.32,4,5,5,04/05/2005,Champions,1
cecc19ff12c206e6368dd1e9c22a848d,212,3,819.52,4,5,5,04/05/2005,Champions,1
3ea4185126195c34ed9949d8e406d570,91,3,806.63,5,5,5,05/05/2005,Champions,1
56c8638e7c058b98aae6d74d2dd6ea23,181,5,806.47,4,5,5,04/05/2005,Champions,1
a1874c5550d2f0bc14cc122164603713,147,4,790.67,4,5,5,04/05/2005,Champions,1
b2e9a05d23ea17713b5d7799f2004f8e,80,3,782.64,5,5,5,05/05/2005,Champions,1
8961b4ca2c5aceb7a78ea72c6e0c840a,116,3,780.4,5,5,5,05/05/2005,Champions,1
738ffcf1017b584e9d2684b36e07469c,123,4,779.18,5,5,5,05/05/2005,Champions,1
6469f99c1f9dfae7733b25662e7f1782,111,7,758.83,5,5,5,05/05/2005,Champions,1
394ac4de8f3acb14253c177f0e15bc58,63,5,745.41,5,5,5,05/05/2005,Champions,1
3de0c9303f39b7ccfe69ca11aee19cc6,175,3,725.8,4,5,5,04/05/2005,Champions,1
acaf5177d6de60fda7ce77c48abb5230,188,3,693.2,4,5,5,04/05/2005,Champions,1
a66315c850c3712707754c1eca7a8069,175,3,671.46,4,5,5,04/05/2005,Champions,1
c37cc6c1a59d81460a3059744f7ada1c,118,4,663.02,5,5,5,05/05/2005,Champions,1
e226254ce0c6d5b7a7ef7218c9b5b518,162,3,650.62,4,5,5,04/05/2005,Champions,1
acea6bd29b8c1e3c6a8b266a8fb4475e,166,4,646.99,4,5,5,04/05/2005,Champions,1
d4a5e9f19897de65433c9d97bf4b9f8e,92,3,636.91,5,5,5,05/05/2005,Champions,1
e2492e4188991b6276a4a62a287a5451,190,3,636.8,4,5,5,04/05/2005,Champions,1
a3dc27d87234f862d7e61a0148c77fa9,187,3,628.63,4,5,5,04/05/2005,Champions,1
7849336c1b7785f258ffef06aedbd216,85,3,622.56,5,5,5,05/05/2005,Champions,1
1373e04979cfa0fb2092909abbd57f25,167,3,609.12,4,5,5,04/05/2005,Champions,1
35ecdf6858edc6427223b64804cf028e,200,5,603.9,4,5,5,04/05/2005,Champions,1
02e9109b7e0a985108b43e573b6afb23,156,3,602.73,4,5,5,04/05/2005,Champions,1
d26c616e241736e0c1c1ab14150239e7,155,3,579.78,4,5,5,04/05/2005,Champions,1
cd86f2b40a6183a8212f9053bb0aaf8a,212,2,559.31,4,5,5,04/05/2005,Champions,1
1501fb94311512e6b98462d159e05a23,184,2,556.58,4,5,5,04/05/2005,Champions,1
64df076fb557552498049bb07ed1cd5f,160,3,554.24,4,5,5,04/05/2005,Champions,1
240f980f7c03e873c538e86792646919,71,2,553.8,5,5,5,05/05/2005,Champions,1
3c555d15cca5369965d1759ad9530a66,157,2,552.51,4,5,5,04/05/2005,Champions,1
322740034480eb5fe9d14398aee49d4b,196,2,549.29,4,5,5,04/05/2005,Champions,1
27eecff5a6338f7c36c78ad05eacc575,62,2,547.74,5,5,5,05/05/2005,Champions,1
cd0e1d42225b7f4cf78a382e4f57e704,115,2,543.87,5,5,5,05/05/2005,Champions,1
b4be8ffe5a39196f0098f30316f7d7a1,144,2,542.8,4,5,5,04/05/2005,Champions,1
1cbda36ee89944baa7a738ddbdc4679a,161,2,540.72,4,5,5,04/05/2005,Champions,1
f0e310a6839dce9de1638e0fe5ab282a,195,6,540.69,4,5,5,04/05/2005,Champions,1
a72a2d4e19868dba726c0e6f49198c7e,64,3,538.33,5,5,5,05/05/2005,Champions,1
821e75291b1ad362e614c0ea79fc95a6,86,3,537.44,5,5,5,05/05/2005,Champions,1
0e4d012fac3d20c033e0284fb6d2ea6a,57,2,532.48,5,5,5,05/05/2005,Champions,1
07f765655f560c8624267665ce23675a,183,2,530.77,4,5,5,04/05/2005,Champions,1
de34b16117594161a6a89c50b289d35a,273,5,530.38,3,5,5,03/05/2005,Champions,1
87b3f231705783eb2217e25851c0a45d,166,2,523.12,4,5,5,04/05/2005,Champions,1
8ec31beb5c890497f1872b5986d3cc26,144,2,519.94,4,5,5,04/05/2005,Champions,1
b7b162291adff744d6f3c6450557ffee,82,3,519.24,5,5,5,05/05/2005,Champions,1
1a27a558aac4c4bfe3642b8c9bffcf4f,76,2,518.49,5,5,5,05/05/2005,Champions,1
2b0d2a4ffe3906cd18019c2463cfeee9,106,2,517,5,5,5,05/05/2005,Champions,1
c7c19110042036e6266adc998cbf1289,74,3,515.55,5,5,5,05/05/2005,Champions,1
