product_category_name_english,total_customers,repeat_customers,repeat_rate_percentage,,,,total_customers,,,repeat_rate_percentage,
la_cuisine,13,2,15.38,,,,13,15.38%,,15.38,15.38%
fashion_childrens_clothes,7,1,14.29,,,,7,14.29%,,14.29,14.29%
arts_and_craftmanship,21,3,14.29,,,,21,14.29%,,14.29,14.29%
fashio_female_clothing,36,4,11.11,,,,36,11.11%,,11.11,11.11%
furniture_mattress_and_upholstery,37,4,10.81,,,,37,10.81%,,10.81,10.81%
music,38,4,10.53,,,,38,10.53%,,10.53,10.53%
home_appliances,688,72,10.47,,,,688,10.47%,,10.47,10.47%
fashion_male_clothing,104,10,9.62,,,,104,9.62%,,9.62,9.62%
fashion_bags_accessories,1757,155,8.82,,,,1757,8.82%,,8.82,8.82%
drinks,282,23,8.16,,,,282,8.16%,,8.16,8.16%
furniture_bedroom,86,7,8.14,,,,86,8.14%,,8.14,8.14%
fashion_sport,26,2,7.69,,,,26,7.69%,,7.69,7.69%
home_confort,391,29,7.42,,,,391,7.42%,,7.42,7.42%
air_conditioning,244,18,7.38,,,,244,7.38%,,7.38,7.38%
furniture_living_room,407,30,7.37,,,,407,7.37%,,7.37,7.37%
fashion_shoes,234,17,7.26,,,,234,7.26%,,7.26,7.26%
furniture_decor,6178,445,7.2,,,,6178,7.20%,,7.2,7.20%
fashion_underwear_beach,117,8,6.84,,,,117,6.84%,,6.84,6.84%
home_construction,483,32,6.63,,,,483,6.63%,,6.63,6.63%
bed_bath_table,9008,578,6.42,,,,9008,6.42%,,6.42,6.42%
food_drink,219,13,5.94,,,,219,5.94%,,5.94,5.94%
christmas_supplies,125,7,5.6,,,,125,5.60%,,5.6,5.60%
sports_leisure,7341,386,5.26,,,,7341,5.26%,,5.26,5.26%
fixed_telephony,212,11,5.19,,,,212,5.19%,,5.19,5.19%
construction_tools_safety,158,8,5.06,,,,158,5.06%,,5.06,5.06%
tablets_printing_image,79,4,5.06,,,,79,5.06%,,5.06,5.06%
construction_tools_lights,242,12,4.96,,,,242,4.96%,,4.96,4.96%
housewares,5681,279,4.91,,,,5681,4.91%,,4.91,4.91%
pet_shop,1667,81,4.86,,,,1667,4.86%,,4.86,4.86%
food,436,21,4.82,,,,436,4.82%,,4.82,4.82%
costruction_tools_garden,187,9,4.81,,,,187,4.81%,,4.81,4.81%
garden_tools,3420,156,4.56,,,,3420,4.56%,,4.56,4.56%
kitchen_dining_laundry_garden_furniture,241,11,4.56,,,,241,4.56%,,4.56,4.56%
construction_tools_construction,732,33,4.51,,,,732,4.51%,,4.51,4.51%
perfumery,3050,136,4.46,,,,3050,4.46%,,4.46,4.46%
market_place,273,12,4.4,,,,273,4.40%,,4.4,4.40%
home_comfort_2,23,1,4.35,,,,23,4.35%,,4.35,4.35%
computers_accessories,6405,270,4.22,,,,6405,4.22%,,4.22,4.22%
diapers_and_hygiene,24,1,4.17,,,,24,4.17%,,4.17,4.17%
toys,3763,154,4.09,,,,3763,4.09%,,4.09,4.09%
books_imported,49,2,4.08,,,,49,4.08%,,4.08,4.08%
home_appliances_2,222,9,4.05,,,,222,4.05%,,4.05,4.05%
audio,347,14,4.03,,,,347,4.03%,,4.03,4.03%
baby,2783,111,3.99,,,,2783,3.99%,,3.99,3.99%
luggage_accessories,1013,40,3.95,,,,1013,3.95%,,3.95,3.95%
health_beauty,8498,336,3.95,,,,8498,3.95%,,3.95,3.95%
stationery,2250,83,3.69,,,,2250,3.69%,,3.69,3.69%
watches_gifts,5421,199,3.67,,,,5421,3.67%,,3.67,3.67%
dvds_blu_ray,55,2,3.64,,,,55,3.64%,,3.64,3.64%
small_appliances,606,22,3.63,,,,606,3.63%,,3.63,3.63%
art,195,7,3.59,,,,195,3.59%,,3.59,3.59%
industry_commerce_and_business,230,8,3.48,,,,230,3.48%,,3.48,3.48%
telephony,4047,137,3.39,,,,4047,3.39%,,3.39,3.39%
office_furniture,1245,42,3.37,,,,1245,3.37%,,3.37,3.37%
auto,3769,124,3.29,,,,3769,3.29%,,3.29,3.29%
consoles_games,1014,33,3.25,,,,1014,3.25%,,3.25,3.25%
cine_photo,63,2,3.17,,,,63,3.17%,,3.17,3.17%
musical_instruments,607,19,3.13,,,,607,3.13%,,3.13,3.13%
costruction_tools_tools,97,3,3.09,,,,97,3.09%,,3.09,3.09%
cool_stuff,3543,109,3.08,,,,3543,3.08%,,3.08,3.08%
books_general_interest,490,15,3.06,,,,490,3.06%,,3.06,3.06%
signaling_and_security,137,4,2.92,,,,137,2.92%,,2.92,2.92%
electronics,2507,73,2.91,,,,2507,2.91%,,2.91,2.91%
party_supplies,38,1,2.63,,,,38,2.63%,,2.63,2.63%
agro_industry_and_commerce,176,4,2.27,,,,176,2.27%,,2.27,2.27%
computers,176,3,1.7,,,,176,1.70%,,1.7,1.70%
books_technical,255,4,1.57,,,,255,1.57%,,1.57,1.57%
small_appliances_home_oven_and_coffee,72,1,1.39,,,,72,1.39%,,1.39,1.39%
security_and_services,2,0,0,,,,2,0.00%,,0,0.00%
cds_dvds_musicals,12,0,0,,,,12,0.00%,,0,0.00%
flowers,29,0,0,,,,29,0.00%,,0,0.00%
