"purchase_month","total_orders","monthly_revenue","avg_order_value","revenue_growth_pct"
"2016-09-01","1",NULL,NULL,NULL
"2016-10-01","265","46566.71","175.72",NULL
"2016-12-01","1","19.62","19.62","-99.96"
"2017-01-01","750","127545.67","170.06","649979.87"
"2017-02-01","1653","271298.65","164.13","112.71"
"2017-03-01","2546","414369.39","162.75","52.74"
"2017-04-01","2303","390952.18","169.76","-5.65"
"2017-05-01","3546","567066.73","159.92","45.05"
"2017-06-01","3135","490225.60","156.37","-13.55"
"2017-07-01","3872","566403.93","146.28","15.54"
"2017-08-01","4193","646000.61","154.07","14.05"
"2017-09-01","4150","701169.99","168.96","8.54"
"2017-10-01","4478","751140.27","167.74","7.13"
"2017-11-01","7289","1153528.05","158.26","53.57"
"2017-12-01","5513","843199.17","152.95","-26.90"
"2018-01-01","7069","1078606.86","152.58","27.92"
"2018-02-01","6555","966510.88","147.45","-10.39"
"2018-03-01","7003","1120678.00","160.03","15.95"
"2018-04-01","6798","1132933.95","166.66","1.09"
"2018-05-01","6749","1128836.69","167.26","-0.36"
"2018-06-01","6099","1012090.68","165.94","-10.34"
"2018-07-01","6159","1027903.86","166.89","1.56"
"2018-08-01","6351","985414.28","155.16","-4.13"
