"category","orders","item_revenue","avg_item_value","pct_of_total_gmv"
"health_beauty","8836","1441248.07","149.04","9.10"
"watches_gifts","5624","1305541.61","217.92","8.24"
"bed_bath_table","9417","1241681.72","111.71","7.84"
"sports_leisure","7720","1156656.48","133.86","7.30"
"computers_accessories","6689","1059272.40","135.34","6.69"
"furniture_decor","6449","902511.79","108.29","5.70"
"housewares","5884","778397.77","111.77","4.91"
"cool_stuff","3632","719329.95","189.50","4.54"
"auto","3897","685384.32","161.84","4.33"
"garden_tools","3518","584219.21","134.40","3.69"
"toys","3886","561372.55","136.35","3.54"
"baby","2885","480118.00","156.65","3.03"
"perfumery","3162","453338.71","132.59","2.86"
"telephony","4199","394883.32","86.88","2.49"
"office_furniture","1273","342532.65","202.56","2.16"
"stationery","2311","277741.71","110.35","1.75"
"pet_shop","1710","253876.65","130.39","1.60"
"computers","181","232799.43","1146.80","1.47"
"Unknown","1473","213662.90","131.32","1.35"
"musical_instruments","628","210137.37","309.03","1.33"
"electronics","2550","206825.06","74.75","1.31"
"small_appliances","630","206668.83","304.37","1.30"
"fashion_bags_accessories","1864","184273.54","90.73","1.16"
"consoles_games","1062","177293.24","155.93","1.12"
"luggage_accessories","1034","170875.21","156.48","1.08"
"construction_tools_construction","748","165328.00","177.96","1.04"
"home_appliances_2","234","123917.92","520.66","0.78"
"home_construction","490","96920.36","160.46","0.61"
"home_appliances","764","94990.43","123.20","0.60"
"furniture_living_room","422","86884.73","172.73","0.55"
"agro_industry_and_commerce","182","78374.07","369.69","0.49"
"home_confort","397","67073.27","154.55","0.42"
"fixed_telephony","217","64220.81","243.26","0.41"
"air_conditioning","253","61774.19","207.99","0.39"
"kitchen_dining_laundry_garden_furniture","248","58327.80","207.57","0.37"
"audio","350","56398.94","154.94","0.36"
"books_general_interest","512","56052.40","101.36","0.35"
"small_appliances_home_oven_and_coffee","75","50193.57","660.44","0.32"
"construction_tools_lights","244","48663.80","160.08","0.31"
"industry_commerce_and_business","235","47554.29","177.44","0.30"
"construction_tools_safety","167","44463.62","229.19","0.28"
"food","450","36664.44","71.89","0.23"
"market_place","280","33834.53","108.79","0.21"
"costruction_tools_garden","194","31027.29","130.37","0.20"
"fashion_shoes","240","28481.64","108.71","0.18"
"art","202","28247.81","135.16","0.18"
"drinks","297","28169.95","74.33","0.18"
"signaling_and_security","140","28017.05","140.79","0.18"
"furniture_bedroom","95","24661.01","226.25","0.16"
"books_technical","260","23379.12","87.56","0.15"
"food_drink","227","19687.47","70.82","0.12"
"costruction_tools_tools","97","17934.17","174.12","0.11"
"fashion_male_clothing","112","12950.23","98.11","0.08"
"christmas_supplies","128","12030.12","78.63","0.08"
"fashion_underwear_beach","121","11457.74","87.46","0.07"
"tablets_printing_image","79","8754.61","105.48","0.06"
"cine_photo","65","8189.66","113.75","0.05"
"dvds_blu_ray","59","7288.13","113.88","0.05"
"music","38","6724.86","176.97","0.04"
"furniture_mattress_and_upholstery","38","5998.54","157.86","0.04"
"books_imported","53","5409.70","90.16","0.03"
"party_supplies","39","5313.15","123.56","0.03"
"fashio_female_clothing","39","3425.39","71.36","0.02"
"fashion_sport","27","2697.64","89.92","0.02"
"la_cuisine","13","2388.54","170.61","0.02"
"arts_and_craftmanship","23","2184.14","91.01","0.01"
"diapers_and_hygiene","27","2141.27","54.90","0.01"
"flowers","29","1598.91","48.45","0.01"
"home_comfort_2","24","1170.58","39.02","0.01"
"cds_dvds_musicals","12","954.99","68.21","0.01"
"fashion_childrens_clothes","8","665.36","83.17","0.00"
"security_and_services","2","324.51","162.26","0.00"
